date,Times of Day,pressure_state,pressure_Sea,Precipitation_amount,temperature,Dew point temperature,pressure_Vapor,Humidity,wind_speed,Wind_direction,Daylight_hours,solar radiation_amount,snowfall,Snow_cover
2016/1/1,1,1018.8,1021.8,0,5.2,1.3,6.7,76,2.4,0,0,0,0,0
2016/1/1,2,1019.3,1022.3,0,5,0.4,6.3,72,3,0,0,0,0,0
2016/1/1,3,1019.8,1022.8,0,4,-0.2,6,74,1.9,0,0,0,0,0
2016/1/1,4,1020.3,1023.3,0,3.9,-0.3,6,74,2,0,0,0,0,0
2016/1/1,5,1021,1024,0,5.1,-1.6,5.4,62,2.5,0,0,0,0,0
2016/1/1,6,1021.7,1024.7,0,4.8,-2.3,5.2,60,2.8,0,0,0,0,0
2016/1/1,7,1022.5,1025.5,0,5,-4.3,4.4,51,3,0,0,0,0,0
2016/1/1,8,1023.1,1026.1,0,5.8,-3.8,4.6,50,3.6,0,0.6,0.26,0,0
2016/1/1,9,1023.7,1026.7,0,7.6,-4.2,4.5,43,4.5,0,1,0.91,0,0
2016/1/1,10,1024,1027,0,9.6,-5.5,4.1,34,5.4,0,1,1.44,0,0
2016/1/1,11,1023.3,1026.3,0,10.4,-6.4,3.8,30,2.9,0,1,1.82,0,0
2016/1/1,12,1022.4,1025.4,0,11,-7.8,3.4,26,3.3,0,1,1.98,0,0
2016/1/1,13,1021.8,1024.8,0,11.5,-6.8,3.7,27,2.2,0,1,1.92,0,0
2016/1/1,14,1021.7,1024.7,0,11.6,-7.2,3.6,26,3.4,0,1,1.65,0,0
2016/1/1,15,1022,1025,0,10.8,-6.5,3.8,29,1.7,0,1,1.17,0,0
2016/1/1,16,1022.6,1025.6,0,9.9,-5.6,4,33,3.1,0,1,0.58,0,0
2016/1/1,17,1023.2,1026.2,0,8.3,-5.5,4.1,37,2,0,0.4,0.07,0,0
2016/1/1,18,1023.6,1026.6,0,8.2,-6,3.9,36,1.9,0,0,0,0,0
2016/1/1,19,1024.1,1027.1,0,8.6,-6.4,3.8,34,1.5,0,0,0,0,0
2016/1/1,20,1024.2,1027.2,0,8.2,-6,3.9,36,2.5,0,0,0,0,0
2016/1/1,21,1024.1,1027.1,0,6.9,-5.1,4.2,42,2.6,0,0,0,0,0
2016/1/1,22,1023.9,1026.9,0,7.2,-5.5,4.1,40,1.7,0,0,0,0,0
2016/1/1,23,1023.5,1026.5,0,5.5,-4.9,4.2,47,1.6,0,0,0,0,0
2016/1/1,24,1022.8,1025.8,0,5.4,-4.7,4.3,48,1.7,0,0,0,0,0
2016/1/2,1,1022.7,1025.7,0,5.3,-4.5,4.4,49,1.9,0,0,0,0,0
2016/1/2,2,1022.9,1025.9,0,4.9,-4.4,4.4,51,3.1,0,0,0,0,0
2016/1/2,3,1022.2,1025.2,0,4.4,-4.6,4.4,52,1.8,0,0,0,0,0
2016/1/2,4,1022.2,1025.2,0,4.2,-5,4.2,51,3.7,0,0,0,0,0
2016/1/2,5,1021.9,1024.9,0,4.1,-5.9,3.9,48,2.5,0,0,0,0,0
2016/1/2,6,1021.7,1024.7,0,4,-5.5,4.1,50,1.8,0,0,0,0,0
2016/1/2,7,1021.6,1024.7,0,2.9,-4.8,4.3,57,2.5,0,0,0,0,0
2016/1/2,8,1021.3,1024.3,0,3.8,-5.4,4.1,51,1.9,0,0.2,0.18,0,0
2016/1/2,9,1021.3,1024.3,0,5.3,-4.5,4.4,49,1.2,0,0.4,0.59,0,0
2016/1/2,10,1020.7,1023.7,0,7.7,-4.7,4.3,41,0.6,0,0.6,1.07,0,0
2016/1/2,11,1019.3,1022.3,0,10.5,-3.6,4.7,37,2.6,0,1,1.86,0,0
2016/1/2,12,1017.7,1020.6,0,11.7,-2.1,5.2,38,3.1,0,1,2.25,0,0
2016/1/2,13,1016.3,1019.2,0,12.7,-0.5,5.9,40,2.2,0,1,2.11,0,0
2016/1/2,14,1015.7,1018.6,0,13.3,-0.7,5.8,38,0.9,0,1,1.75,0,0
2016/1/2,15,1015.5,1018.4,0,12.5,-0.7,5.8,40,2,0,1,1.17,0,0
2016/1/2,16,1015.4,1018.3,0,10.8,0.3,6.2,48,1,0,1,0.55,0,0
2016/1/2,17,1015.6,1018.6,0,8.3,0.1,6.1,56,0.7,0,0.3,0.06,0,0
2016/1/2,18,1016,1019,0,7.9,-0.3,6,56,2,0,0,0,0,0
2016/1/2,19,1016.2,1019.2,0,7.9,-0.3,6,56,1.1,0,0,0,0,0
2016/1/2,20,1016.4,1019.4,0,7.2,-0.3,6,59,0.5,0,0,0,0,0
2016/1/2,21,1016.1,1019.1,0,6.9,0.1,6.2,62,1.1,0,0,0,0,0
